,No,Item,GOU (UGX Bn),Donor (UGX Bn),Total (UGX Bn)
0,1.0,Budgeted Revenue,455.6,425.4,881
1,2.0,Receipts,718.3,344.8,"1,063.1"
2, ,Revenue Performance,157.7%,81%,124.9%
