,S/N,Project Name,Certification/ Payment In Excess Of Executed Qty (UGX)
0,1,Rehabilitation/Upgrading of the Access Road(3.1km) to Busoga College Mwiri in Jinja,"17,486,856"
1,2,Rehabilitation of Runga-Waaki-Butiaba road in Hoima District (19.2km),"9,882,810"
2,3,Rehabilitation of Bulucheke-Muchomo-Nyende Road in Bududa District (8.4km),"22,604,400"
