S/No Contract Overpayment (UGX);;
15;UTC Elgon Lot 1;23,112,847
16 UTC Elgon Lot 2 21,469,465;;
17;Kaliro Technical Institute;8,114,020
18 Butalejja Technical Institute 70,875,186;;
19;Kasodo Technical Institute;125,683,060
20 Rwentanga Technical Institute 33,199,300;;
TOTAL;;1,709,528,745
