5;Oyam DLG;20;290.35;10;58.45;Lack of funding to transfer titles
6 Mbarara DLG 78 235.65 68 113.94 Lack of funding to transfer titles;;;;;;
7;Buduuda DLG;50;101.29;24;19.25;Expired Land Board to effect titling of Land
8 Butaleja DLG 0 0 14 112 Expired Land Board to effect titling of Land;;;;;;
9;Sironko DLG;37;759.59;21;317.09;Lack of funding to transfer titles
10 Soroti DLG 138 Not defined 91 Not specifed Lack of funding to transfer titles;;;;;;
11;Kumi DLG;64;520;51;Not specifed;Not stated
Total 578 2384.78 396 651.477;;;;;;
