,Client,MoWT
0,Works Contract Number,MoWT/Wrks/IP/17-18/005
1,Supervisor,EIC/DoE
2,Works contractor,Afro General builders and Carpentry (U) Ltd
3,Works Contract value (VAT excl),"UGX 117,799,000"
4,Works Contract signature date,21 st Dec 2017
5,Works Contract duration,6 months
6,Original Works Completion date,21 st May 2018
7,Amount certified to date, 
8,% Progress reported, 
9,Time lapse at time of audit,175 days
