,NDP Outcome indicators,SDP Outcome Indicators,MPS output indicator
0,"Proportion of passenger traffic by rail, road and water","Volume of passengers transported by road, rail, air and water transport.",Development of inland water trans- port; maintenance of aircrafts; Border post construction
1,Percentage of outcome indicators achieved against target 1.,Proportion of outcome indicators achieved.,"Development of policies, laws, guide- lines, plans and strategies."
2,Percentage of construction works executed by locals,Percentage and value of construction works executed by the local contrac- tors.,Monitoring compliance of construc- tion standards and undertaking research
3,"Number of reported road, water, railway and lives lost.","Trend of road, railway, air and water accident occurrence.","Development of policies, laws, guide- lines, and strategies"
