,Entity,Total Sample,Achieved,Partially Achieved,Not Achieved,Unable to confirm
0,MoWT,18.0,2,11,1,4
1,UNRA,21.0,9,9,3,0
2,Totals,39.0,11,20,4,4
3,%, ,28.2%,51.28%,10.26%,10.26%
