,Budget categorisation Amount Spent Percentage,Unnamed: 1,Unnamed: 2
0,Recurrent budget activities,"5,951,443,945",83%
1,Development (Capital) budget activities,"1,201,178,859",17%
2,Total,"7,152,622,804",100%
