,No Year End Amount (UX) % Increase/ decrease,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,1,30 th June 2018,"27,064,751,206",---
1,2,30 th June 2019,"24,659,186,215",-9%
2,3,30 th June 2020,"12,956,698,113",-47%
3,4,30 th June 2021,"11,133,496,602",-14%
