,S/ N Donor Funding Project Project brief GOU contribu tion (UGX) (Bns) Current year GOU Budget (UGX) (Bns) Current year GOU warrants (UGX) (Bns) Funder/ duratio n,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0, , , , , , , , , , , 
1,1.0,Project on Irrigation Scheme Development in Central and Eastern Uganda (PISD)-,areas flooding Establishment of medium and large scale irrigation scheme in Uganda targeting farmers cultivating mainly rice in lowlands with season and unreliable agricultural water sources,JICA - 6/11/201 8 31/12/20 25 to,2.79 billion Japanese Yen,30.12, ,1.318, ,1.053, 
2,2.0,Support to Sustainable Fisheries Development Project (SSFDP),Government of Uganda Project was developed as a merger of all Fisheries Interventions in MAAIF including the uncompleted infrastructure works under the previous donor funded projects that,GOU - July 1st 2015 to June 30th 2020,-, , ,7.339, ,7.178, 
3, , , ,Total, , , ,8.657, ,8.231, 
