,Code Name Start Date End Date Stage,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,1663.0,China-Uganda South-South Cooperation Project Phase III,07/01/2020,30/06/2022,Concept
1,1696.0,Development of Sustainable cashew nut Value chain in Uganda,07/01/2020,30/06/2025,Concept
2,1698.0,Establishment of Value Addition and Processing Plants in Uganda,07/01/2020,30/06/2025,Concept
3, , , , , 
