,S/N Output Revised Budget (UGX) ‘000 Cumulative percentage share of the total approved budget,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,1,Output : 7 Promotion of Production & Productivity of priority commodities,"1,600,000",1%
1,2,Output : 4 Crop pest and disease control measures,"1,055,297",2%
2,3,Output : 7 Promotion of Production & Productivity of priority commodities,"2,000,000",3%
3,4,Output : 3 Crop production technology promotion,"1,000,000",3%
4,5,Output : 71 Acquisition of Land by Government,"6,002,033",7%
5,6,Output : 5 Vector and disease control measures,"7,405,018",11%
6,7,Output : 9 Vector and disease control in priority animal commodities,"5,296,342",14%
7,8,Output : 6 Improved market access for livestock and livestock products,"3,000,000",16%
8,9,Output : 7 Promotion of priority animal products and productivity,"3,683,750",18%
9,10,Output : 80 Livestock Infrastructure Construction,"6,010,400",21%
10,11,Output : 79 Acquisition of Other Capital Assets,"2,000,000",22%
11,12,Output : 4 Promotion of sustainable fisheries,"2,815,000",24%
12,13,Output : 6 Improved market access for livestock and livestock products,"1,162,000",25%
13,14,Output : 83 Fisheries Infrastructure Construction,"1,000,000",25%
